@relation '6HumanCoded Dataset. Positive and negative scores correspond to the average judgement of at least 3 annotators. More info at: http://sentistrength.wlv.ac.uk/ '

@attribute content string
@attribute pos numeric
@attribute neg numeric

@data
'My commitments demonstrate my values shape my life and determine my destiny.',2,1
'@u92fm my votes are for your entertainment  live like were dying  whatt ya wat from me. time for miracles',2,2
'Do you hate sales? We all must sell at one point or another. Selling is Good: http://ipoint.to/SellingIsGood #linkedin #sales #fearofselling',2,2
'wtheck! secirity and management at front door with 2 costemer?!?!?',1,2
'Bout to hit up red lobster. Get my tgif meal in.',2,1
'Domain Names  Web Hosting and Online Marketing Services And Many More To Succeed In Online Business. http://bit.ly/aN3JB3',1,1
'Stamp duty effect on home sales http://www.lettingprotection.com/News/View.aspx?newsItemId=626',1,1
'I just found out aside from recording and publishing his poetry  Ryan Adams also paints. He ain\'t that bad either. http://twitpic.com/12oa68',2,1
'RT @SylvainPaley @Pingolin: A tester sur Google Buzz : http://bit.ly/c546rs // Hehe',1,1
'@JenAnsbach haha i will follow more people when i get better at this whole twitter thing. you have a good weekend too :)',2,2
'@hackneye ahh I found my account with Spotify that I had ages ago  thanks a lot :)',3,1
'RT @thisislavie: due to our site being down-to enter our giveaway for a chance to win free gold earrings provided by shayan afshar. pls RT',2,1
'CAN\'T SLEEP..: http://chatter.com/a/1vhqf',1,3
'RT @DjBEYONDnyc: just played the @thereallumidee & @djrobdinero so fly remix at the diesel store on 60th and lexington. i just remember how crazy this is.',1,2
'#FF The Good Guys @swampynomo @Jim_DeSantis @MOVIEBRAINROT @fourtoedfoot @sawyer840 @bquain @vquain  @Levi_Muller @Mia @dhlawrencexvii',1,1
'@BigPHOTE_PLO I could care less though...unless he bout to give me a bomb gift  LOLOL! If not  he can stay at home with the main',2,2
'Very happy it\'s half term :) although  I still have to go in school on Tuesday and Wednesday  which sucks.',3,2
'And With That Said... I Know What Im Doin 4 #V-Day! I\'m Workin That Day! Paper Is Worth More Than Love In My Book!',2,2
'Finally editing the Tamper Review!! So fun http://tweetphoto.com/11105662 (via @hslade3)',2,1
'@martieu So hard to take people seriously when they mispronounce words! Although my in-laws and I have a running feud about the word dour.',1,3
'@andrewhyde it was great seeing you too! I believe I\'m inspired to speak at Ignite sometime.... I already have an idea in the works...',3,1
'Follow my new profile ladies @Just_Stop <<<<<<@_SAMMii @ValBo0 @akan_emem @kristaduh2010 @MechanicalSTEEZ @keentastic @TuAllure',1,1
'attempting to understand history lol',2,1
'#LOPPSI : VOTEZ CONTRE ICI: http://bit.ly/cpFuMo PLEASE RETWEET [URGENT]',1,1
'@tcote Yes. Just wished I could breath through my nose... Henry Pool was here is ok though.',2,2
'@emilioeric  Your world is my world and my fight is your fight my breath is your breath and your heart  ? http://www.twitpic.com/12naqy 15',2,1
'@frankenteen Are you ever gonna come to the UK? Oh and....Like my twitter Background? Its you and @mark_salling! :)',2,1
'@xolindsey87 haha yeah they called my house while I was at school  they\'re sending tags for it and then they\'ll send me the right size.',2,1
http://tinyurl.com/2d52ow,1,1
'Had toooooo much fun yesterday with my @GlamBarSalon family!! We go so hard for eachother!',4,1
'RT @RockyRivera: Buy your girlfriend the gift that keeps on giving: GOOD MUSIC SHE CAN RELATE TO! :) www.cdbaby.com/cd/RockyRivera',2,1
'@Wellness_News Thanks for the RT :) It was so nice talking to you today! Have a great night  and a Happy Valentine\'s day.',3,1
'#solar Folding solar panel - MotorhomeFun: I have been debating with myself for the past year as to the benifits o... http://bit.ly/b1yV2l',1,1
'@VerityW Maybe its more about the questions Mr Morgan was asking? -- I mean i have alot of time and respect for old Gord  but i dont [1/2]',2,2
'End-of-the-year giving statements have gone out. If you have not received yours  please call the Summit office. 407-897-8130',1,1
'Reading can get you killed...in Nazi Germany http://imtsbro.com/2010/02/12/so-i-hear-youre-fond-of-literature/',1,2
'Day 2 done  all lookin tired but still a lot of fun with the mixture of talkin to friends and sellin good staff!',3,2
'@jonasdangerjoe I am interested in jemi ... you two (joe and demi) do very lovely couple!!',3,1
'Catch me & @djcoolface @iamtyfromct and the rest of the Definition of Ent fam an 4eternity at NVCC fashion http://tl.gd/8k0qk',1,1
'RT @LaToyaDavis: If you stay ready you don\'t have to get ready. - Will Smith',2,1
'@Greg_Kozarik @tjzuppe @Isley23 -- @sportstalkCLE appreciates you and your work - GREAT JOB tonight guys!',3,1
'RT @open_atrium: You can test out the pre-release of Open Atrium beta4 with #drush make: http://bit.ly/bKzHpk (remember  it\'s not final yet)',1,1
'Don\'t shoulder your burden out there on your own ... Don\'t banish me then bid me home - Powderfinger ? Drifting... ? http://blip.fm/~ktm45',1,3
'Anybody can be first. It takes good marketing thinking to get into the mind first. http://ow.ly/16xYv',2,2
'i need more followers help me and i will help you :)',3,1
'we are the World *o* http://capricho.abril.com.br/blogs/play/veja-os-videos-de-we-are-the-world-para-o-haiti/ vamos ajudar o Haiti! :)',1,1
'@howru2day2009 I second that. the bad boys did it  the bad boys did it but we will clean it up!',1,2
'RT @rachellehoude: I suggest we all listen to this beautiful song by @katiacadet with #haiti in our hearts. http://www.mediafire.com/?tv23z4dzhj1 in memory.',3,1
'@wheelyweb i don\'t. But it contributes. Some of it. Most of it is presentation  marketing and so-called convenience',1,2
'I LOOOOOOOOOOOOOVE my baby. :$ :$ :$ :$ :$ :$ :$ :$ :$ :$ :$',5,1
'Nice  TGIF! Anyone else enjoying CPK and a movie tonight? RT @curlyhair72400: Going out to eat @ California Pizza Kitchen! yum! Peace peeps!',3,1
'RT @BryanPerson: The Media Bullseye Roundtable podcast is back! This week  @JenZings and I welcome guest @jenniferwindrum. http://bit.ly/cSG5Ye',1,1
'Balsera Communications and Republica to jointly promote national Hispanic museum concept: National Hispanic museum... http://bit.ly/9uBsZ0',1,1
'RT @Idothat2: RT if you throw things into fans and watch them fly around the room. #idothat2',1,1
'*singing* Just got paid... Friday noon. Aint no party . Feeling tahd. Leyomi dropping. In my chair. Pump that twurk. While I do some work',2,2
'Q:IS IT TRUE THAT MAMA DANCA AH BREED FI YU??? A:wat the fuk.......... ah wah kinna suicidal n... http://formspring.me/KingBoots/q/159605074',1,2
'Thank you New York and New jersey for picking up your copies. Ain\'t nothing like the support of your own!',2,1
'@SoCoLaura Sounds good. Can you ever go wrong with bacon. Really?',1,1
'RT @msjenniewalker Just 15 more followers to hit 1 800 - Can you help? ?? She\'s a brilliant musical artist. Follow Follow Follow !',3,1
'@TheNoviceChef @TheHockeyGeek @sqlchicken but how long did that PC last you b4 u had to invest in repairs and or buying a new one?? :)',2,2
'@Mcrebouche. I miss you. Enjoy the Winter Wonderland and stay warm.',2,2
'Hates being up early on my day off driving lesson later = fucking expensive http://myloc.me/3JN3C',1,4
'My speech and test went well. Thanks for the prayers! Now off to work with @briemory! Woohoo!',3,1
'Attitude is everything. If you think you are going to lose  you most likely will. If you think like a winner  you are gaurenteed to win.',2,2
'To all my male followers when textin somebody say OK and not K cause it makes you sound #faggish',1,3
'@heyshaybaby I got the pictures but I\'m not gonna post them!',2,2
'and one more #FF and RT thankathon @imageartifacts @elpsilva @mohlat @viral_desai @ultimate_music @espressoDOM @Photo_John @Sergeyus',1,1
'Hi (pic) http://znl.me/P349NA',1,1
'@jwilliams252722 LOL I once woke up in the morning to my then-6-yr-old & her best friend singing Milkshake - complete with  Damn right!',2,1
'RT @RevRunWisdom: Stop judging:: Start LOOKING 4 what other ppl can do   then ppl will start seeing whats good about u! (Karma)',2,1
'Guess which one of my claims is a lie! http://www.twables.com/twotweetslie/guess/Katelyn5096',2,2
'RT @MikeHoughUK: who like\'s the new background!?',2,1
'@RebeccaInspir Tell her I say happy birthday. <3',3,1
'listening to Lil Kim Lighters Up - Music Video ? http://blip.fm/~ku5oe',1,1
'What a season. Still cheering though and will always love my Heels! RT @TarHeelBlueInAr: They can\'t win for losing! Tough  tough year!',3,3
'getting my lip pierced... hells yeah',2,1
'ran a 5k in the 19s today  that was my time not the temp!',3,1
'Interesting article & comments comparing Zillow and NAR perspectives on real estate data: http://bit.ly/dkUt4r',1,1
'@woothemes Liking the Woo Menus - great news they\'re going to power menus in #WordPress 3.0',2,1
'RT @perezhilton: Entertainment Weekly asks: John Mayer\'s \'Playboy\' interview: Why does no one care that he also uses a gay slur? http://bit.ly/9jYdwb',1,2
'Bobby reed uses this as a member. Love is the master key that opens the gates of happiness. http://ihid.us?i=qcp',2,1
'Free report: Help offline businesses and make easy cash! => http://bit.ly/76oQM7',2,1
'@Labiba_ aww hope you ain\'t too stressed. Do take time to try and chill :)',2,3
'RT @Ahnanymis @MsQueenParis lol! Yo that Mike epps shit had my stomach hurtin smh <',1,2
'Where can I get a copy of the picture from the shooting accident in the states where the BB saved the womans life???',1,1
'Tearing the place apart to find my lost library book which is right here  on the arm of my couch. LOL. Jeeeez.',2,3
'RT @vermontaigne: Mr. Smith Goes to Eau Claire #boringmovies | HA!',2,2
'i love quality time w. my bff @beautifuldomiie! its more like touchy feely time LOL',4,1
'RT @CHRIS__CHAMBERS: So who\'s coming to the dream team awards on Monday @ 6:00? I\'m ready to serve you :D',2,1
'@ToughFL dang. welcome to the club! i got one today',1,1
'Bangladesh clamps down on deadly campus violence http://bit.ly/99S7YB',1,3
'#Nikon 24mm f/1.4G ED AF-S RF SWM Prime Wide Angle Nikkor #Lens for #Nikon Digital SLR Cameras http://bit.ly/cT4YyA',1,1
'Tsunami Memory: Choosing the Best WAHM Forums For Your Work at ... http://bit.ly/aNm3iy',2,1
'@Miss31337 aww that\'s what i first thought of!! you think i could pull belle off? she\'s so pretty!',3,1
'RT @TheReal_KDubb: After I make ya mama pop lock n drop it and bust it wide open Ima cook some breakfast buttnekkid in the kitchen Ving Rhames style #thuglife',2,1
'I\'m very willing to pay more taxes  because I believe it\'s the right thing to do - RenoTH ',3,1
'Dork. http://www.adamofficial.com/ca/news/adam-lambert-toronto',1,2
'Health Update:: Latest Snoring Problem Auctions http://www.livewellsite.com/latest-snoring-problem-auctions-25.html',1,1
'@YossiT cool!I always lookd for one but only found Haighs and Koko Black -not that there\'s anything wrong with that ;)',3,2
'Just got word that the Dove Men+Care spot was featured on Oprah!! http://bit.ly/aUq0UJ',1,1
'sorry might not b back 4 a while i have alot coming up  pantomine option choices holiday footie play offs AND all my ruin your halfterm work',1,2
'Watch JAK Medlemsbank -V?r bank on Vimeo! http://vimeo.com/9401152',1,1
'I\'m going to be living around here later this year: http://bit.ly/aBKTgi',1,1
'RT @Saaoirse: I love how awkward everyone looks on QI when being applauded.',3,1
'was asked today in conversation what the end goal of my life is. jesus is. in other news  @quentindill is my favorite basketball player',2,1
'I just took You and Justin are in mcdonald and he goes... and got: He apologizes and u two become friends:)! Try it: http://bit.ly/9VvGpJ',2,1
'captain EO will not be opening this weekend. effects not yet ready... still testing. maybe late march to early april. sorry! #disneyland',1,2
'changed my name!!! used to be @InnocentBells88 but...now that i am OFFICIALY MARRIED to @SexyJazzWhit i am @MrsBellsWhit *smiles*',3,1
'I am using twitter site to tweet right now ... Is that what people called  growing old  ?',1,1
'@dkmashino I thought you complained about that earlier! Hmmmm! :P cc: @808Helix',2,2
'@shadyoutkast punks fiddling and tap dancing? I don\'t even know.',1,1
'Let me sneak out to kitchen. I\'m hella hungry. Brb!',1,3
'@BwanaPapyrus thank you for the #FF !!!!',3,1
'New release: The Vicious Kind (2009) http://tinyurl.com/ydb3slc',1,1
'I feel u on that one.. RT @BellaKeys I need a dose of #Miami !! I\'m getting the #NC virus ! LMAO',2,1
'@LDBCasting I saw it reported that they originally wanted Bullock to do Blindside & she declined but they talked her into it...',2,2
'many people dn\'t know what it feels like when you lose something you love so much ....',3,2
'Just took do you know bella swan??? and got: you\'re her sis! Try it ? http://bit.ly/cN9WL0',1,1
'Getting a bit tired... And the 15 is so packed for las vegas.',1,2
'@acronkyoung I literally just made a template. Waiting for you to edit and write your choices before I go too into it.',1,1
'@RiichRollin good looks my niggaz...Wat niggaz was fuckin wit last night',2,1
'COMPETITION www.bliss-gifts.co.uk is still running so come and enter for a chance to win a gorgeous prize.',3,1
'@thatbrand knows my schedule well... Why don\'t you  @CathoBatho ?',1,1
'just had 3 mouthfuls of dubious looking and tasting beehoon from the neighbour',1,2
'@DougieDoug53 I Know You Not Tweeting About Me lol',2,1
'Blog Post: 16 Realistic Robo-Creatures Videos http://bit.ly/dCeTP5',1,1
'@soopa I\'ve moved in to the chichory stout from dogfish head if that helps at all.',1,1
'I just became the mayor of Mark\'s on @foursquare! http://4sq.com/alMwgS',1,1
'RT @MARLONLWAYANS #HowToBeAMan don\'t cheat... be honest. have the balls to tell the truth & the heart to let them walk away...',2,2
'(infowars.com) A Warning To The Tea Party Nation http://ur1.ca/m7m5',1,1
'just voted #2 on Miley best outfits??  vote too ? http://bit.ly/aWPKkZ',1,1
'just got back from cheer/dance',1,1
'NewsBuzzer: Lightning Round OT: Acme Packet  Waste Management and More - http://tinyurl.com/ye88clp',1,1
'????? How I wish you were here... ?????',1,2
'@dataddiction yo im bored imma bout to call ya ass on skype',1,2
'Getting ready for the Valencia MTV Winter Festival tonight playing for free  the Arctic Monkeys + Mystery Jets.Todays my main Twiiter topic',1,1
'RT @LauraJSilverman: I bought a recovered memory foam mattress and half of my family doesn\'t believe it\'s real.',1,2
'RT @MADAKAZCAR ??400tweet/teny JAPS? Oniitshan = Zokilahy / Oneethsan = Zokivavy / Ototo = Zandrilahy / Imoto =... re: http://ff.im/f8UQh',1,1
'RT @ralphmarston: Happiness is not in some distant place of perfection and pleasure. Happiness is waiting for you to give it life in this moment.',2,2
'http://twitpic.com/12vbz2 - IMG_0853.JPG',1,1
'@HawkB_LND Naw its pro game just more physical and overseas rules',1,2
'@BigHeadAsian So what\'s up with @LAFoodFest? You gonna be there for a while?',1,1
'RT @iatpapog: articel writing made fun and easy. http://bit.ly/articlewriting',2,1
'@SpinsDick O_o Um....*isn\'t near my house* Can i poof you guys there? :D',2,1
'in the past 24 hours i\'ve eaten megabyte pizza  a&w  mcdonalds (three times)  kraftdinner  and starbucks. whistler was a blast!',3,1
'HAHA Giselle just replied to my text and said \'Fuck yeah\'. I love everyone :3',3,1
'RT @ArghZombies: Trailer Neil Marshall\'s Centurian looks awesome! http://bit.ly/b4VEeZ // Do I spy Noel Clarke... Bet he gets his mobile out',1,1
'Hello my tweeples! I\'m back. Busy bee me. Check out what @obeygiant made! http://yfrog.com/1dcbdiyj (via @smokey_robinson)',1,1
'ready for this juice jam on march 27th  got about 5 more pounds of muscle to gain and i\'ll be just right....',2,1
'RT @dj4DWood: @DonnieWahlberg are you a grown man ready to blow?',1,1
'Phillyvenues.org Pavilion of Art & Design London to Field World\'s Most Prominent Dealers: LONDON.- Now i... http://bit.ly/9Wba2C @phlvenues',1,1
'Dispatch from Darfur RT @willswanson Valentine party behind barbed wire  sandbags. Nevermind UNAMID armed bouncers; their weapons don\'t work',1,2
'RT @EvaMarcilleFanz: #FF @EvaMarcille @LanceGross @MsJillMJones @DenyceLawton @natashaellie @LizzESue @Big_mal @haselstar & @MarquitaH',1,1
'RT @fndannyboy: RT @ZackMeads: Tired of pissing matches over vinyl vs cdj/laptop. If you suck as a dj  you suck no matter what u play on. End of story :)',2,3
'Testing out Google Buzz and other networks.',1,1
'Mj got new mascra -.- and i didn\'t know -.-',2,2
'RT @worldprayr: Love Believes all Things - Unshakable confidence and trust. http://bit.ly/dsX6zl',2,1
'Bharti offers $10.7 billion for Zain Africa ops: reports (Reuters)http://bit.ly/bpKDI5',1,1
'questo l\'ho caricato soprattutto per @enver: http://www.youtube.com/watch?v=z9udY-1z2HM',1,1
'Great fun RT @shru_: Enjoyable tweet up at Al Mallah @MoneyMunot @Daddybird @kangayayaroo @dubaijazz @wajihasaid @mita56 @bishray @yaHya101',1,1
@HisHoliness,1,1
'RT @beaubeth: Sail Banda 2010  Moluccas  Indonesia :) http://myloc.me/3LIbN',1,1
'I saw him yesterday and thought the SAME thing. RT: @StyleIT Oh  crazy suit guy - you are such a #nyfw fixture http://twitpic.com/131gvw',1,2
'You must be Jamaican  cause you Jamaican me crazy. http://plurk.com/p/3rblfk',1,2
'@MzNina216 thats on me im bout to send that 4 u.',1,1
'Wanna help us with tomorrow\'s bake sale? Here\'re the details: http://trunc.it/55kni Thank you!',3,1
'I\'m at ????. http://4sq.com/62t8Hr',1,1
'have another step to being capable fans down  blog created. http://jrcelski.blogspot.com/ - It is a very very nice place of happiness.',3,1
'@justinbieber cuz this life\'s too long and this love\'s too strong. So baby know for sure  that I\'ll never let you go (:',3,1
http://twitpic.com/12z4lh,1,1
'@ItsMeMaven Hee! Nah  since my RNY one glass of wine = OMG I\'M GONNA TAKE MY SHIRT OFF & DANCE!',2,1
'I\'m always gonna be here so get use to tha face :)!!!',4,1
'Petropavlovsk names Dr Graham Birch as non-executive director: AHe was manager of BlackRock\'s ... http://bit.ly/cWCgz0 - http://bit.ly/9BQr',1,1
'I posted 12 photos on Facebook in the album NNG Pix http://bit.ly/8Ze5ub',1,1
'RT @BiebsBestBabes: Everyone seems to be unfollowing EVERYONE except for celebs and friends.',1,1
'RT @martinajoseph 5000th Tweet Soon! <-- Just About Half Way Towards Reaching My Standards!:)',2,1
'athomeintexas 2.12.10.wmv: http://athomeintexas.com ? Review of changes to website. How did removing flash and add... http://bit.ly/crmDTZ',1,1
'@MissKellyO that tweet came from the heart and was perfectly spelt. Or should that be spelled? Respect for the realness and unbridled diss.',2,2
'RT @gigAnit: tease a http://myloc.me/3MygW',1,1
'RT @BBCClick: What internet browser will you pick  and why  when Microsoft gives users the choice from March? Send us your views... http://bit.ly/azAI8Y',1,1
'@bzygo What  You\'ve Got Mail? IDK. That\'s a little before my time...most Meg Ryan movies are the same  but they\'re guilty pleasures.',2,2
'3 picks today are - Crispy Breast of Lamb  Apple and spice red cabbage  Garlic and Thyme Potatoes  Pan Juice ?11.95',1,1
'Had been to office today  feeling sleepy now...',1,2
'http://ping.fm/p/LbFvn - My Macbook Pro lid - now with @wrox and @sqlagentman stickers.',1,1
'#7: Vidpro Gripster Flexible Camera Tripod for Compact Digital Cameras  GP-10 http://tinyurl.com/ybwycww',1,1
'Today\'s New Moon gives the current pile-up of planets in your ... More for Leo http://twittascope.com/twittascope/?sign=5',1,1
'aww elvin ng\'s so cute w the pink pants and the lalala dance steps! :D',3,1
'time to say goodbye',1,2
'@BrunaCoradini so do you speak very well  don\'t you use the google translate yeah? I wanna someone to practice...',3,1
'just voted joe jonas on who is the cutest guy in disney channel? vote too ? http://bit.ly/b5Jl28',2,1
'@technofreak9 install it on a flash drive and boot through the USB. flash the bios to an english one. What is the make of the PC? Board?',1,1
'RT @Regev_Porat: Martin Heidegger: thinking the unthinkable - BBC\'s Human  All Too Human series http://tinyurl.com/yc6onwn',1,1
'@cake_slave fair enough. I can\'t predict it anyway haha. How far are you?',2,2
'QUOTE: Survival and profit are fine  but if you http://j.mp/cz6d5T',2,1
'So today is the chinese new year and valentine\'s day at the same time  huh? What would I wear to celebrate both? pink barongsai costume? ;p',2,1
'@msfob woo thers like random cartoon characters and kids :) are you pro at mando?',2,1
'@oylo_muychingon awh that sucks :( i\'m currently working on my biol assignment  feel free to do it for me? Haha :D',2,3
'Fuel stop en route to Toronto for the weekend (@ Smokin\' Joes) http://4sq.com/a5qumG',1,1
'http://www.formspring.me/SirWysheidRoxx Ask Me Anything U Want',1,1
'http://twitpic.com/130e7m -',1,1
'Couldn\'t stand the dirty house any longer  so husband (who\'s home every morning) is going to chess tourney while I stay home & clean.',1,3
'Ask me anything http://formspring.me/actyree',1,1
'RT @Catherine747: ... the global heart is awakening  beating out the rhythm of a new and glorious dance  calling us to a better way of living ~ Anodea Judith',3,1
'@joegilder sorry I missed the production club last night...work has been particularly unkind to my spare time this week.',1,2
'? Coldcut - Return To Margin (Afterlife Mix) http://somafm.com #nowplaying',1,1
'[New Post] Getting Rid of Wrinkles - http://toast.tw/100mee',1,1
'http://twitpic.com/12w7zg - BITCHES DONT KNOW BOUT MY MILLENNIUM FALCON',1,3
'Stupid Things to Try on Your Cell Phone! - http://goo.gl/fb/WHYH',1,2
'@drewbrees I agree! Think you two top my list of people I\'d love to meet one day!',3,1
'@Glambr oooh are you coming to see me & @MAC_Gregory_A and @ricpipino at @alice_olivia?',1,1
'@JamesGang4lyf Yeah I totally agree too  and they both work so hard!!',3,1
'Top o the morning... Off to Riveredge forsome Saturday skiing!!! Purdy day for it!',3,1
'Losing weight has nothing to do with starving or jogging!..http://bit.ly/8Ur89K',1,1
'Fuck My Life: OMFG Now I got hiccups!!!! #FML: OMFG Now I got hiccups!!!! #FML http://bit.ly/d4KbNY',1,4
'#9: Winsome Spectrum L-Back Airlift Adjustable Swivel Stool  Faux Leather http://url4.eu/1OIHC',1,1
'I\'ve got a feeling this is Mexico\'s year',2,1
'RT @THE_REAL_SHAQ: 2nd funniest guy in da nba. check it out http://bit.ly/arCFES',2,1
'Look at my horse  my horse is amazing. Give it a lick it tastes just like raisins  by the stroke of its mane it turns into a plane.SINGALONG',2,1
'#listeningto Wonderin\' (featuring Matt Thiessen of Relient K) - TobyMac   if you love how beautiful fireflies voice   MT is the man!',2,1
'can\'t find my phone + it\'s not charged.. email/twtr/fb if you need me. time for a lowkey night w/@hilaryasmith. 7.5 miler @ 7 AM tom.. ahh!!',1,2
'RT @OMGIDoThisToo: When you sit on the ground  do you automatically start pulling out grass?',1,1
'RT @FlexRadioSystem All other vendors have closed up shop  but still a crowd in FlexRadio booth #HamCation #hamr http://twitpic.com/132bv8',1,1
'Q:If you could have been the author of any book  what would it have been?... A:THE 50 CENT BOOK http://formspring.me/Djzai09/q/164212714',1,1
'How to Make money Online At Home?? http://bit.ly/ajfztf',1,1
'Want to improve your life? Ordain it by understanding the physics involved. Visit http://bit.ly/joedweb',2,1
'RT @nadirachianti: RT @aliyajulyan: RT @jacklinevelina: Pleaseeeee  i want to be taller :( http://myloc.me/3MsZj',1,2
'Lol that shit\'ll be crazy RT @antlindsey: @TheRyanHenry I\'m putting it together in my head now. Ima hv you tat me on the stage @ONTOURAGE',2,1
'@ThemPRangers #rangerstagmein cause yall wit me everywhere ii go (only cause ii gotta skin of yall on my phone lol)',2,1
'i will forever miss the GREAT Alexander McQueen',3,3
'Need more followers of your twitter account? Go here - http://cli.gs/JpVunR',1,1
'@LondonDiva The same ones up in arms were probably shucking and jiving right along with Soulja Boy talking about Supermanning that hoe. Q',1,1
'@bsneed23 U off to Antarctica a.k.a. Dallas??',1,1
'@griltig yeah google for sure now. Jus a lying cunt like the rest of em. Oh well. Will def try to make boots reunion. You going?x',2,3
'RT @MARLONLWAYANS: #HowToBeAMan don\'t call a woman you had sex w/ ahoe. she gave your needy ass pussy. she\'s a HERO!<--lmao.',3,2
'@lovelyladypa so true. I am sick of MSM creating drama',2,2
'I had a nightmare about this vicious little cat biting me! Dreammoods says it means someone close to me is talkin shit & bein fake. HMMMMM',1,4
'My grandma is so cute! :D she said I\'m still young so don\'t have to do housework. I totally agree with her! (:',3,1
'RT @AndyParas: RT @CarolinaScanner SC Highway Patrol working 488 wrecks at the moment..... STAY HOME & DO NOT DRIVE!!! #chstrfc #chswx',1,4
'@DC_Zol Pricess Leia is going to be gutted! :-)',2,3
'Get back to healthy nutrition basicsAnahuac ProgressA great way to start on the path to better nutrition is to take a n http://url4.eu/1Otsu',2,1
'UK Afghan mission \'going to plan\' http://www.nwoos.com/uk-afghan-mission-going-to-plan-88534.html',2,1
'@MrsJonas622 can u vote stay on which njata is best ? It\'s my poll',2,1
'BMW Vision EfficientDynamics Concept To Be In Production By 2013 - Future Cars News: BMW Vision EfficientDynamics ... http://bit.ly/caJzgr',1,1
'@SaireBennetto Aww dammit! Lol its in the post!! =P',2,2
'It took me a few hours to get my hand un-glued from my face.',1,2
'@hughhefner How you doin just wanted to say hi and get in touch with you',1,1
'RT @HarvardResearch: Atheists are just as ethical and have as strong a moral compass as churchgoers  new research shows http://ow.ly/15y0R',1,1
'hopin\' one day you\'ll come and sing this song with me. I wrote this song just for you.',2,1
'Just realized a friend is off the wagon in a big way - sad;-(',1,3
'RT @PaigeXc: Is so excited about Pixies in March. La la love you  don\'t mean maybe...',3,1
'RT @diplo: happy valentines day ! mix from mad decent - http://tinyurl.com/decentLUV',3,1
'RT @inspiringMoms: @getsweetie Hi Sweetie! This is YOUR Holiday!You were named for it! Make it a special day!TU for the rt!Amy//Hugs to you!',3,1
'RT This is very cool. Parallel genetic code created http://bit.ly/acEJSk /via @RogerHighfield',3,1
'Sesek napas mksdnya? ;) RT @RezaHarmaini: Can\'t breathe easy... http://myloc.me/3OW5o',1,1
'@MzJuDolla http://fashioncashsuccess.tumblr.com/ check out my blog!!!!',3,1
'RT @TLProdigy: @atlhoopstar That squirtin thing  lmao. . . I just can\'t find it sexy. I TRIED though. lmaooo. - yo @MoGeezie what u say?',2,2
'RT @CrackerClips2010Pacesetter Awards 2010: Jerry Aronson  education winner: Aronson said he has always considered teaching to be an a...',2,1
'dropped my phone at knotts berry farm -_- water rides FTL!',1,2
'@ljastars lol you are not :P http://bit.ly/cKNBd5 this is the bag :D :D',2,2
'The Book of Eli just didn\'t do it for me...',1,2
'White Knight Chronicles: Possibly one of the worst games ever made',1,3
'1961  Les Amis De La Music by Brigitte Bardot: http://www.youtube.com/watch?v=3cbq7H_Ul34&feature=player_embedded',1,1
'Sitting in my car :( man I think I really messed up with lukas tonight. :(',1,3
'I like how my parents just love to ruin everything  including what would have been the best Valentine\'s Day of my life.',3,2
'The thing about pictures of scenery is the never quite being able to translate the true experience- http://tweetphoto.com/11371545',1,2
'OH SNAP. my 6 year old cousin snores SO loud.',1,3
'From Hacking Exposed 2-14-10: MS update gives some XP boxes blue screen of death: http://tinyurl.com/yl8dz44',1,2
'Photo: (via hopelesslydope) http://tumblr.com/xqr6fc2hx',1,1
'I posted two new tutorials. One one textures: http://bit.ly/aYgwLL and one on Patterns: http://bit.ly/dCw2WN',1,1
'New Post!: The Careers through Culinary Arts Program: 20th Anniversary Benefit http://bit.ly/bZ2jbJ',1,1
'@faitholds hahah i dont mean to do that. its because b is right by the space barrrrr on my phone and my computer.',2,2
'Ya style is played out like Arnold & that what you talking \'bout Willis.',1,2
'@Intricate11 girl ya it was just how they said it especially the in denial part! http://myloc.me/3NJbN',2,1
'forgot to put the frozen yogurt away! whoops:P',2,2
'@brigwyn the laptop kept overheating and the repair trips were in the waranty period. They could never figure out what was wrong with it',1,2
'The one time NASCAR should step in today  they don\'t.',1,2
'My v-day gift = cartoons & bed rest #lame sum time 2day he will b rubbin my back & tummy :)',3,2
'the annoying cramps is getting my way! I wanna kill eeuuu!',1,3
'Photo: fuckyeahsubtitles: http://tumblr.com/xit6fw0gf',1,1
'@justinbieber all I can say is that your are AMAZING! I love & appreciate how you try to treat all your fans equally. We love you!',4,1
'@andreakhay no one asked me anything lol me and @_QuickSilver said ear piercings on Monday lol',2,2
'V-Day Gift 4 t/Planet> A Guide for Mass Meditation for Global Healing - http://bit.ly/8IqS8V #green #meditation #earth #eco Please RT',2,1
'Babysitter...check! Day with my honey...check! Nothing else matters  except the kids that is',2,1
'Happy V Day everyone! Or happy singles awareness day. Whichever works for you...',2,1
'RT @vcoach: If you don?t like being alone  perhaps it would be wise to start making friends with the one you?re alone with!',2,2
'RT @BITCHUTRIPPIN: RT @shinealious: My body hot lol',2,2
'Happy Valentine\'s Day! Check out our Whole Trade roses. We won\'t tell anyone you only paid $19.99 for a dozen! http://bit.ly/c55QpL',2,2
'I just took You live in a House Between Justin and Chris. In ... and got: You and Justin become good friends! Try it: http://bit.ly/9RTQoA',3,1
'Hubs: Hon  if you don\'t have something nice to say... Daughter: Then she\'d never say anything.',1,2
'Book Review: Does God Believe in Atheists? (John Blanchard) http://ff.im/-fUDch',1,1
