@relation 'Twitter Sentiment Analysis Sanders Dataset. More info at: http://sananalytics.com/lab/twitter-sentiment/'

@attribute content string
@attribute topic string
@attribute Class {positive,neutral,negative}

@data
'#SaturdayCute: Shit That #Siri Says. @Apple designers knew what people were going to ask the new digital assistant... http://t.co/Ecji1iIo',apple,neutral
'@thatstevegray done that buddy just  surprised that there\'s no option from @apple &amp; if you turn it back on it brings back the pics u delete',apple,neutral
'SpeechTrans http://t.co/TW3SzX61 on @Apple App store listed as the #best bi-directional #Speech To Speech #Translator --- Posts on Twitter',apple,neutral
'So @apple changed the look of their on/off toggle. I wonder how long it will take for all the hip web apps to follow...',apple,neutral
'I want everybody on earth to iMessage me.  Is there anyway the world can iMessage me without giving them my phone number??? @Apple',apple,neutral
'@apple has changed life.',apple,positive
'@amandbrar @apple Siri has worked for me less than 10\% of the time. If service doesn\'t improve by Monday I\'m returning my iPhone 4S.',apple,negative
'@apple can you vote for my wishlist cus there all apple products? http://t.co/uAize83k',apple,neutral
'RT @MyMelange: Wall to wall people security and a huge line outside just to get in the @Apple store.  http://t.co/i1khkgJm',apple,neutral
'@azrael: RT @DavideGori: And again #MobileMe is down. Issues when syncing accessing mail... is this a good premise for #iCloud? @Apple ...',apple,negative
'need @apple help!! installing new ios on #iphone4 and am stuck on the Find My iPhone screen :( i keep clicking next but it doesn\'t work',apple,negative
'Mad props to the @apple employee that didn\'t charge me to replace the back plate on my iPhone! Made my day!',apple,positive
'Whoa! Line at @apple store in Glendale for iPhone 4S  http://t.co/yZlpogXB',apple,neutral
'Bummer that @Apple #iCloud syncs on Windows only w/ Outlook (not Thunderbird) &amp; IE (not Firefox Chrome). #sadmac',apple,negative
'@RonakKataria @apple you heard of testing before deploying updates. Difference between microsoft &amp; apple: None',apple,negative
'Disappointing visual merchandising @apple. Simple but lacks elegance. And sequence doesn\'t even tell us about #Siri. http://t.co/XV2q3gfi',apple,negative
'Follow me and I follow you!! @iOS5 @fansoflilwayne @follow @apple',apple,neutral
'has been on terminal hold with @apple support!  She must not be the only person having trouble with the new iphone and synching!',apple,negative
'@Apple wasted 20 hours of my time after software wiped out my phone. Now have to work late thru night. AND I\'m w/o a phone at least 4 days!',apple,negative
'@apple thanks apple for ios 5 and losing all my contacts!',apple,negative
'@apple give me my apps back!!!',apple,negative
'@Apple #iOS5 NONSTOP DROPPED CALLS&amp;MUTE BUTTON RANDOMLY ACTIVATING&amp;PERSON CANT HEAR ME PULL PHONE FROM EAR TO BE ON A &quot;MOBILE ME&quot; SCREEN',apple,negative
'RT @tomcolontonio: Didn\'t it occur to @apple #apple that ppl share iTunes accounts amongst family\'s ?????Wtf!!!!',apple,negative
'@tomcolontonio @apple #EPICFAIL',apple,negative
'Salesperson at #soho @Apple store &quot;it doesn\'t matter how many people are lined up out front. They\'re not gonna get one&quot; #iphone4s',apple,neutral
'@apple and I\'m looking at the outside &amp; all you see is sticky notes about steve jobs',apple,neutral
'I\'m salty as shit @apple ! @bestbuy gets the at&amp;t iPhone 4s but not the sprint version. GTFOH how can you (cont) http://t.co/6iGBDmOq',apple,negative
'iOS5 fucking shats! @apple',apple,negative
'@apple needs to make a vokel app now',apple,neutral
'@samsung and @apple never rest as they battle in court yet again over tablets.(not the pills)',apple,neutral
'@jonsibley Actually the @Apple  mouse is pretty sweet man.',apple,positive
'Iphone update is great but seriously @apple let me delete stuff I dont want like gamecenter. Steve wont mind...',apple,neutral
'The #iphone4s is  amazing. Siri\'s voice recognition is absolutely a step above previous attempts. Bravo @apple',apple,positive
'Please someone buy me an IMac 27&quot; I\'ll love you for like ever and ever! @apple',apple,positive
'@rjakesuk mine is past the warranty and I don\'t have AppleCare. #ios5 @apple',apple,neutral
'90 minutes after being at 100\% my iPhone 4 (post #ios5 upgrade) has lost 40\% of its charge and the @apple store folks are out of ideas.',apple,negative
'If @Apple could put the USB female connector in cars would be #Dope',apple,neutral
'So &quot;cutting the cord&quot; makes podcasts even harder to manage?!? No subscriptions! WTH @Apple? http://t.co/LD2i871x #iOS5 (via @carrypad)',apple,negative
'What do we have to do to get Flash on #iPad? @Apple please please please change your mind. Thank you in advance! @kusi_sk  @PeterNemcok',apple,neutral
'@ireton Perhaps it\'s time for @Apple to come out with an app called iSuck that lets you know which apps are killing your battery life',apple,neutral
'20 min line @apple store @short pump.',apple,neutral
'remember when people used to say &quot;flat the fuck out!!&quot; lol.. and their face while saying.... kindahow i feel about @apple',apple,negative
'Lol @Apple support playing Mary J Blige during the wait time.',apple,neutral
'In less than an hour my post- #iOS5 iPhone has gone from 100\% to 73\% battery charge and the @apple store folks have no solution for me :(',apple,negative
'Well @apple seems 2b screwing #iphone 4s resellars. They still dont have 4s. Yet were promised. Similar 2 Ma Bell\'s monopolistic prctices?',apple,negative
'So &quot;cutting the cord&quot; in #iOS5 makes podcasts even harder to manage? No subscriptions? WTH @Apple? http://t.co/eTYXkxmb (via @gdgt)',apple,negative
'Also @EricGreenspan don\'t forget @Apple stop closing the app store after each bloody purchase...',apple,negative
'RT @TheMacMob: Sprint Verizon &amp; AT&amp;T @Apple Stores http://t.co/ZOzR0UUz',apple,neutral
'@xwordy iCloud was new; I didn\'t need weather or stocks but they were there pre #ios5 so I\'m not hopeful that this will help @apple',apple,neutral
'@apple cu',apple,negative
'Finally got the @apple IPhone thanks to @sprint getting with the times',apple,positive
'*sigh* @apple store seems stumped what to do about my catastrophically bad battery life after upgrading to #ios5',apple,negative
'Thinking more I want Android to do an iMessage service &amp; for @Google &amp; @Apple to interconnect. They would if the cared about their users.',apple,neutral
'@apple in Austin:  domain location - umbrellas are nice but being staffed properly would be better.',apple,neutral
'bored - need a new intriguing #app for my #iPad.  Any suggestions?  @apple #yyc @Gadget_Guy',apple,neutral
'#iOs5 is nice and as it had to be ! Thanks @Apple',apple,positive
'@KeepnUpWitTBoyd @AppStore @iTunesMusic they fixed a bug Thursday after I had done my update? Thus my issue spent Fri @apple  #iOS5',apple,neutral
'Good support fm Kevin @apple #Bellevue store 4 biz customers TY!',apple,positive
'I heart @apple',apple,positive
'And @Apple I still have an old MBP from 2006 which I use - which can\'t run #Lion I still like to sync it!',apple,neutral
'@moLifer26 @apple When we find people standing in the middle of blood-soaked rooms saying &quot;Siri told me to?&quot; #noreallyihearvoices',apple,neutral
'...now with Siri were talking to our iPhones... how will we ever know if people are really truly crazy? :P #iphone4s #Siri #apple @apple',apple,neutral
'Hmmmm a lot of #Siri features don\'t work in Canada. Location and directions? Seriously @apple come on!',apple,negative
'@notleifgarrett @apple you\'ll be able to afford that mansion one day.',apple,neutral
'@fabi_m not that I know of. I think it is only on iOS should get @apple to make a desktop app :)',apple,neutral
'@apple #siri can\'t connect to the network -- it\'s LESS useful that VoiceControl now... :(',apple,negative
'Looks like spending countless hours editing 20+ galleries in mobileme galleries was in vain. No gallery migration on #iCloud. Ugh. @apple',apple,negative
'@apple took my Siri and made it exclusive to iPhone 4S  #SoRude',apple,negative
'@notleifgarrett @apple wished their on hold music played &quot;Pictures of You&quot;.',apple,neutral
'Just downloaded IOS 5. It\'s better than I expected! #thankyou @apple',apple,positive
'Wow I am loving this new @apple update for my touch. #coolness Well done',apple,positive
'@Apple: Siri is amazing!!! I\'m in love!',apple,positive
'total time on the phone with @apple: 1 hour 27 minutes. let\'s see how this goes.',apple,negative
'Waited in line for nothing fucking genius @Apple called an app for &quot;John&quot; not &quot;jean&quot; stop fucking up my name im not a French boy. #PCam ...',apple,negative
'Dear @apple One day you\'re going to release a version of iTunes that doesn\'t freeze more often than it works. One day.',apple,negative
'@RealEstateGuyWI All about yesterday\'s @Apple upgrade. Helpful but maddening',apple,neutral
'It\'s been 24hrs since I reported @ups theft of my iPhone and @apple has done nothing. No return call as promised. Nothing.',apple,negative
'This does not bode well. After charging all night my @Apple iPhone 4S has 25\% battery after only 3hr off charger with no calls &amp; light use',apple,negative
'Houston we have a problem!! My iPad has been restoring for 12+ hours after installing @apple IOS5. This can\'t be right....',apple,negative
'From @SteveJobs to Bryan at Boston\'s Genuis Bar @Apple has had an impact on everyone\'s life.',apple,neutral
'#Siri went down for a little while last night. Come on @apple! Get your shit together on this launch!',apple,negative
'@ford should have teamed up with @Apple instead of @microsoft to make this SYNC system in my new focus. Car is sweet SYNC is #EpicFail',apple,negative
'after being on hold with @apple for the last 30 mins i really like their music selection of on-hold music. White Stripes Ray Lamontagne...',apple,neutral
'&quot;#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/g8Uof7uz #PampersHelloApps&quot;',apple,neutral
'iOS 5 crashed! Twice today ? @apple',apple,negative
'@vlingo is a POOR substitute for Siri!! Yo @APPLE gimmie Siri!!!!',apple,neutral
'Tech lobbyists like @Google @Microsoft &amp; @Apple could have sway to change #WallStreet ethos? #OWS Make them #DoNoEvil',apple,neutral
'Installed io5 - fine on ipad but wiped wife\'s iPhone and restore from backup failed! #Bigtrouble #help @apple',apple,negative
'RT @gdcurry: Really @Apple?  What have you done to my iTunes now?  I can\'t click on Music Movies TV Shows or any playlists. I get a little &quot;no&quot; symbol',apple,negative
'@Apple Scrapple. (:',apple,neutral
'@tvnewschick @apple Oh no! Why not?! I want it to be love-love-love! It\'s a lot of dough to spend otherwise...',apple,neutral
'One of the great #entrepreneurs has died. #Steve #Jobs has passed away. Our hearts go out to his family and everyone at @Apple',apple,neutral
'Love love love iOS 5!! @apple',apple,positive
'DAMN YOU !!! @apple',apple,negative
'@fashionNOGuilt haha! tomorrow should be less hectic too! \'cause everyone and their moms was at the @apple store today! ;]',apple,neutral
'On Google+ then go here http://t.co/oTBwkxo9 #GPlus #Googleplus #Google #teamfollowback #socialnetwork',google,neutral
'Who else is on g+ ? Add for add? Let me know.  #TFB #TAF #google+',google,neutral
'Have anyone of you found a Twitter to Google+ tool? #Google #Twitter',google,neutral
'#Google unveils next iteration of #Android - #icecreamsandwich - with several revamps incl facial recognition security http://t.co/xMrZVkav',google,neutral
'Took me months to decide but tonight I have chosen #google over Amazon S3 for image storage solution.',google,positive
'There are too many #google services that do not work when you are a #googleapps user. #googleplus above all + profiles + #plusone',google,negative
'Google Offers to compete with Groupon Living Social - Pittsburgh Post-Gazette http://t.co/Wwj3xvdm #google',google,neutral
'RT @spacecanard Today\'s the Day. ICS &lt;3 #android #google #samsung',google,positive
'What does it take to get a job at #Google? #recruiting http://t.co/eVjiH7oD',google,neutral
'Samsung Galaxy Nexus Android Ice Cream Sandwich unveiled http://t.co/wWrYcM04 #android #google #samsung',google,neutral
'http://t.co/e5ClGzsI #google',google,neutral
'The new Nexus looks good! UI feel a bit confusing but I guess Android users are ok with that! Now try it :) #Google #android #nexusprime',google,positive
'Very nice trivia game by #Google. Helps you use their search better http://t.co/ikN087ZE',google,positive
'#Google #Ice Cream Sandwich (#Android 4.0): a hands-on ##screenshot #gallery http://t.co/bpZRz337',google,neutral
'Very nice trivia game by #Google. Helps you use their search better http://t.co/c5Tu3dZK #fb',google,positive
'Now it\'s time for some Ice Cream Sandwich! #Samsung launched it\'s latest Android Galaxy Nexus phone powered by #Google',google,neutral
'in the theater .. there are are a good 300 ppl here. #guae #google #dubai http://t.co/OjykYcfo',google,neutral
'#Android #Google Samsung Galaxy Nexus official hands-on [Video] http://t.co/6GX3R9MT #DhilipSiva',google,neutral
'Cant build a website. Get a #Google website #Free ! http://t.co/7qUy4uOU',google,positive
'RT @NeowinFeed: Android 4.0 Ice Cream Sandwich announcement round-up #android #google http://t.co/L5m9uwD7 #neowin',google,neutral
'RT @iPadPowerUsers On Google+ then go here http://t.co/1OGs2xA9 #GPlus #Googleplus #Google #teamfollowback #socialnetwork',google,neutral
'Did #Facebook Just Beat #Google At Its Own Game? http://t.co/SiJsB3ME #socialmedia',google,neutral
'Did #Facebook Just Beat #Google At Its Own Game? http://t.co/xVonCBeb #socialmedia',google,neutral
'Starting to doubt #google android policy: no released android sources since 2.3.3! Curious for an opensource project to say the least...',google,negative
'#Android ICS is looking pretty good. Not quite sure if its worth the 4.0 numbering leap. #google',google,positive
'@Tita_Ramos #Google it =)',google,positive
'RT @p1j Android 4.0 Ice Cream Sandwich is Here with a Google Nexus in new Avtar!   http://t.co/MTu7tGx7   #android #google #nexus #BigMAMA',google,positive
'Me too RT @MohamedG: Exciting day It\'s Ice cream Sandwich day ;) #Google #Android',google,positive
'#Google Says ICS Is Coming To The #Nexus S And ???????Theoretically??????? Should Work With 2.3 Devices http://t.co/TY0HDQAm',google,neutral
'Unwrapping Ice Cream Sandwich on the Galaxy Nexus http://t.co/pw4mfbSe #Google',google,neutral
'Bitch please your vagina has been used more than #google .',google,neutral
'#Google #IceCreamSandwich Debuts as IPhone Sets Record: Tech. http://t.co/TrENUYF4',google,neutral
'RT @aljonkar: The new Samsung Galaxy nexus.. http://t.co/UtbpXrsj #Android #Samsung #Google #WoW CC @kha1989led @eisaahmad',google,neutral
'Youtube video views are still not updating properly. #google #youtube #fail',google,negative
'#Google search to have default encryption http://t.co/rwgKPbGu',google,neutral
'#google- http://t.co/Hkk3qMMe',google,neutral
'Google Defaults to Encrypted HTTPS Searches for Logged In Users #Google http://t.co/6yFZvoxS',google,neutral
'#Samsung &amp; #Google unveil latest #Android #phone using #IceCreamSandwich http://t.co/eHoeBMDW',google,neutral
'RT @webseoanalytics: #SEO Tip:Google considers the first lines of the page important.Put menuheaders+important text on top. #google',google,neutral
'@WEirDOsRunSHIT lol #google',google,neutral
'@tando_m @nonimsi sorry to butt in but there is one :) I can\'t remember what it\'s called though. #Google',google,neutral
'#Android #Google Android 4.0 Ice Cream Sandwich SDK now Available for Download http://t.co/Fue4VXxe #DhilipSiva',google,neutral
'GMusic Unites #Google #Music with #Apple iOS [#Apps] http://t.co/R0ih6ePa #republished',google,neutral
'#SEO Tip:Google considers the first lines of the page important.Put menuheaders+important text on top. #google',google,neutral
'On Google+ then go here http://t.co/SxmLkaRR #GPlus #Googleplus #Google #teamfollowback #socialnetwork',google,neutral
'#SEOTIPS To find out what web pages of your website are indexed by #Google simply Google --&gt; site:http://t.co/xlsu6iPa',google,neutral
'RT @Infograhpic: The Perks of Working at #Google #Facebook #Twitter and More [INFOGRAPHIC] http://t.c...  @MediaTip',google,neutral
'WOW the new #Google #Nexus is just beautiful. totally gonna boost google\'s market share in the smart phone market.',google,positive
'#Android #Google Ice Cream Sandwich Is Finally Official And Here\'s What To Expect http://t.co/Wxhb8JXO #DhilipSiva',google,neutral
'Empire Avenue. The Social Stock Market. What Is Your Online Activity Worth? http://t.co/AKlnmKAi #twitter #facebook #Google+ #socialmedia',google,neutral
'RT @NeowinFeed: Google shows off new Ice Cream Sandwich features #google #android http://t.co/LlJpGM2a #neowin',google,neutral
'The Perks of Working at #Google #Facebook #Twitter and More [INFOGRAPHIC] http://t.co/YT87krbP #sm #socialmedia... http://t.co/1yCwl874',google,neutral
'#Google To Begin #Encrypting Searches &amp; Outbound Clicks By Default With SSL Search - http://t.co/vc573Pte',google,neutral
'RT @GLaraLopez: The Perks of Working at #Google #Facebook #Twitter and More [INFOGRAPHIC] http://t.co/0KcgbMWF #sm #socialmedia #redessociales',google,neutral
'hahaha integrated data usage manager... in sucha brilliant way sleek design superb and I\'m only watching videos LOL #Google',google,positive
'The Perks of Working at #Google #Facebook #Twitter and More [INFOGRAPHIC] http://t.co/ktK62gVq #sm #socialmedia #redessociales',google,neutral
'I fancy an Ice Cream Sandwich #google #android. Wonder it will works on my HTC Desire?',google,positive
'Google Ice Cream Sandwich - sounds yummy!  What do you think? http://t.co/gMsgXcq8 #google #Android #ice cream sandwich',google,positive
'#Google Me!!!!!!!!',google,positive
'#seo #serps Ballmer: 70\% Of The Time Google &amp; Bing Are The Same So Try Bing! by @dannysullivan http://t.co/ZE9AiMYI #google #yahoo #bing',google,neutral
'Unwrapping Ice Cream Sandwich on the Galaxy Nexus: (Cross-posted on the Official Google blog)Bea... http://t.co/K10SvnNr #google #mobile',google,neutral
'G#Music Unites #Google Music with #Apple iOS [#Apps] http://t.co/3ze3feV4',google,neutral
'G#Music Unites #Google Music with #Apple iOS [#Apps] http://t.co/S8V8vfmh',google,neutral
'The Perks of Working at #Google #Facebook #Twitter and More [INFOGRAPHIC] http://t.co/0KcgbMWF #sm #socialmedia #redessociales',google,neutral
'#Twitter and #Google \'just can\'t agree\' on Realtime Search deal - Computerworld : http://t.co/XNj052NO #av',google,neutral
'Google To Begin Encrypting Searches &amp; Outbound Clicks By Default With SSL Search http://t.co/C0Ykfjla #google #search',google,neutral
'Who are the top folks on #Google+? See this tag cloud: http://t.co/rp7LSoEE via @jowyang',google,neutral
'Exciting day It\'s Ice cream Sandwich day ;) #Google #Android',google,positive
'Android 4.0 Ice Cream Sandwich is Here with a Google Nexus in new Avtar!   http://t.co/mSWX6Eo6   #android #google #nexus #BigMAMA',google,positive
'#Google unveils what\'s new in #Android 4 \'Ice Cream Sandwich\' http://t.co/uOLAYieA',google,neutral
'#GOOGLE me if u dnt understand me ????????????????.????????????????????????',google,neutral
'@Bla1ze I was referring to #Google &amp; #Icecreamsandwich. It looks amazing. What imo android was missing. I ... http://t.co/rE4nLZgI',google,positive
'Is #Google #Flight Search a threat to the OTA and #travel #Meta #Search #market in India? Check- http://t.co/RuhglJMt #News',google,neutral
'@attentionspan i don\'t think the link you posted suggests that #google+ traffic is in downward spiral just corrected for novelty',google,neutral
'So @Gizmodo @TechCrunch -- answer the question we really want to know -- ICS + Nexus vs. iPhone 4S? #Google #Apple',google,neutral
'#ThatsDisrespectful Like using #Google to search for #Bing',google,neutral
'#Samsung Galaxy Nexus #smartphone Android 4.0 Ice Cream Sandwich unveiled by #Google??????? http://t.co/nds5B4ej #BT',google,neutral
'#Android Ice Cream Sandwich and Galaxy Nexus: Everything You Need to Know http://t.co/CvTxbiKQ #google #mobile #OS',google,neutral
'Galaxy Nexus Vs iPhone 4S: Which smartphone wins? http://t.co/bF6QUCwt via @productreviews #galaxynexus #iphone4s #google #apple #ics',google,neutral
'Samsung Google Unveil Phone http://t.co/tzj1bYNc #Google',google,neutral
'#SEO Tip:Make sure that your important keywords have high keyword density in your pages #google #bing #yahoo',google,neutral
'Android Ice Cream Sandwich is out! #android #Google',google,neutral
'Android Ice Cream Sandwich and Galaxy Nexus: Everything You Need to Know - http://t.co/MSqsVMDK #google',google,neutral
'http://t.co/QV4m1Un9 Forget the phone.. Nice UI. Liking the Scroll Feature #android #google #nexus',google,positive
'Simply Amazing! http://t.co/9qmG3irA #Google #Samsung #Galaxy #Nexus #Prime #Android4 #IceCreamSandwich',google,positive
'#Google has finally unveiled the much awaited #Android OS Ice Cream Sandwich &amp; it sure looks good! http://t.co/sNL38EM1',google,positive
'New #Google #Nexus -&gt; http://t.co/qR1eijhw',google,neutral
'#Google Docs #Updates Presentations With Real-Time #Collaboration New Themes Transitions and More [Updates] http://t.co/JWSPetbd',google,neutral
'Google Adsense Tools http://t.co/2IjBZdvn #Adsense #Google #Tools',google,neutral
'Playing around with Google+ #google',google,neutral
'RT @LocalJoost: #ICS&quot; putting people at the heart&quot;? You have GOT to be joking #Google. Now even copying slogans? Ah I get it THOSE are not patented ;)',google,neutral
'Extra care. &quot;@TheGoogleGeek: Google Encrypted Search for Logged-in Users http://t.co/jgwIs30e #google&quot;',google,neutral
'#Google #Docs presentations get real-time collaboration transition effects and more: Google??????? http://t.co/COSF8WUS',google,neutral
'Online Music Industry is witnessing the astounding revolution. Can #Google manage to seal the supreme console? http://t.co/QcDddYrn',google,neutral
'Online Music Industry is witnessing the astounding revolution. Can #Google manage to seal the supreme console? http://t.co/iUi7JtCM',google,neutral
'On Google+ then go here http://t.co/63B8wYPw #GPlus #Googleplus #Google #teamfollowback #socialnetwork',google,neutral
'Online Music Industry is witnessing the astounding revolution. Can #Google manage to seal the supreme console? http://t.co/Jrc4qstJ',google,neutral
'#google Finally!! All searches for logged in users will be on https! http://t.co/RaUeRrtF',google,positive
'Your face unlocks the phone as facial recognition replaces a traditional pass code. #Google Nexus Prime smartphone',google,neutral
'Android 4.0 Ice Cream Sandwich announcement round-up #android #google http://t.co/ExcNswwx',google,neutral
'This Is the #Samsung Galaxy Nexus #Google\'s New Official Android Phone(via @Gizmodo) - The... http://t.co/HZdfN3oS',google,neutral
'#Android: This Is the #Samsung Galaxy Nexus #Google\'s New Official Android Phone(via @Gizmodo) - The... http://t.co/wS4GS9uk',google,neutral
'Android 4.0 Ice Cream Sandwich announcement round-up #android #google http://t.co/3SvjOtjT',google,neutral
'Android 4.0 Ice Cream Sandwich announcement round-up #android #google http://t.co/8DjJHFGu',google,neutral
'Android 4.0 Ice Cream Sandwich announcement round-up #android #google http://t.co/L5m9uwD7 #neowin',google,neutral
'#LOL #google http://t.co/aeJ1Vrgj',google,neutral
'#Android #Google The Galaxy Nexus\' System Apps Have Been Dumped http://t.co/LCZNPDHR #DhilipSiva',google,neutral
'#Google has made search more #secure this change #encrypts your search queries and Google\'s result pages.  Read more: http://t.co/Rnnjwo6r',google,neutral
'Did #Google really just highlight a new font #Roboto as part of their #ICS announcement for #Android...?! Seriously.',google,negative
'Android 4.0 OS Ice Cream Sandwich and the Galaxy Nexus is out.seems that smartphones are named by hungry developers  #Google+',google,neutral
'Anyone seen this? If your brand needs to track #SEO keyword landing through to a conversion well #Google just capped ???????http://t.co/g4coBopL',google,neutral
'RT @whymicrosoft: Google????????s Ad revenue for Q3 was 96\% of total revenue. So are #Google customers the commodity being sold to advertisers???',google,neutral
'Ice Cream Sandwich arrives http://t.co/Z4j7WhmS #google #icecream #android #samsung',google,neutral
'it\'s in the curve baby http://t.co/ORDg1z2F #google #nexus #android #samsung',google,neutral
'Is Google planning to launch its own iTunes rival? - The Times of India http://t.co/1x73o5Yz #google',google,neutral
'#Android #Google We saw Ice Cream Sandwich on a Phone but What About a Tablet? http://t.co/6McjpONv #DhilipSiva',google,neutral
'RT @businessuplift: Why #facebook and #google have got it wrong http://t.co/PDbF7H3f',google,negative
'#SEO tip:in multilang sites create folders for each lang.submit the urls in #google #webmaster tools+Use GeographicTarget',google,neutral
'Going in with #mikedunn one of the #chosenfewdjs all in with #chicago #housemusic! Might want to #google him!',google,neutral
'#Google releases 50 new features for presentations in????#GoogleDocs http://t.co/0x6crRao',google,neutral
'#RIM should really take an in debt look at #Google\'s strategy... They released the #NDK for #Icecreamsandwich 3 HOURS after release. #ics',google,positive
'Ballmer: 70\% Of The Time #Google &amp; #Bing Are The Same So Try Bing!: http://t.co/rA5PgOsD',google,neutral
'Recap: Google will host G-South Africa in JHB on 3rd and 4th November. http://t.co/A88ZBr2O #google',google,neutral
'Believe it or not #political process is changing across all countries. Thanks to new social media #Facebook  #twitter #google+',google,neutral
'#Google #Ice Cream Sandwich (#Android 4.0): a #hands_on #screenshot #gallery http://t.co/61bZRSWI via @engadget',google,neutral
'Logitech Revue Companion Box with Google TV and Keyboard Controller by #Logitech #Google #TVBox via #amazon http://t.co/NkPjGP3W',google,neutral
'#Google #Ice Cream Sandwich (#Android 4.0): a #hands_on #screenshot #gallery http://t.co/E8dCQo7s',google,neutral
'RT @vattam: Man! I\'ve fallen in love with Galaxy Nexus! #google #samsung #galaxynexus #android',google,positive
'#Google announces NFC-based #Android Beam for sharing between phones',google,neutral
'When in doubt... #Google it!!!',google,positive
'If you need to modify your payment details that are on your phone for the Android Market go here: http://t.co/z4gS3PxC #Google',google,neutral
'[GReader Share] Five Reasons Why Google is Winning the War in Photosharing  http://t.co/coQCLb9R - #photography #fotografia #google+',google,positive
'#SEO #backlinks #google #index Free Tool http://t.co/1tTp1axq',google,neutral
'Samsung Galaxy Nexus Google Android 4.0 Live Blog : http://t.co/wwSYXAbn #android #google #mobile #news',google,neutral
'#Android #Google Ice Cream Sandwich Feature Closer Look - Resizable Widgets Folders Multitasking And... http://t.co/CQCaWORD #DhilipSiva',google,neutral
'Google encrypting search for signed-in users http://t.co/R2xDFqRs #encryption #google #search #secure',google,neutral
'#google Unwrapping Ice Cream Sandwich on the Galaxy Nexus http://t.co/UsqWKjSJ http://t.co/qnICyo0n #webtech',google,neutral
'I would also like ice Cream Sandwich on my phone #google #android http://t.co/4iAbnQeY http://t.co/rn0Nc9iR #webtech',google,neutral
'is mulling #google + but hmmm just aint shore bout nuther social media profile. http://t.co/tm2pK3lR #webtech',google,negative
'#Google #Android #IceCreamSandwich features - http://t.co/qXFdDrt4. #ICS',google,neutral
'On Google+ then go here http://t.co/RCSwZlxK #GPlus #Googleplus #Google #teamfollowback #socialnetwork',google,neutral
'#ICS&quot; putting people at the heart&quot;? You have GOT to be joking #Google. Now even copying slogans? Ah I get it THOSE are not patented ;)',google,neutral
'RT @Assim99: Dear #Google I want the Galaxy Nexus NOW. Please send it to me by email or something - I know you have the technology',google,positive
'The new Samsung Galaxy nexus.. http://t.co/UtbpXrsj #Android #Samsung #Google #WoW CC @kha1989led @eisaahmad',google,neutral
'#Google and #Samsung unveil #Galaxy #Nexus #Android 4 at event: http://t.co/oTqfW9XQ | #CTIA #Hong #Kong #conference #environments',google,neutral
'New Solar plant seen on I-15 on the way to Vegas invested in by Google.  http://t.co/Pzw8OVnm RT #eco #google #solar #greenpower',google,neutral
'#SEO Tip:Meta nofollowed or robots.txt blocked pages DO receive pagerank juice when they get links. #google',google,neutral
'Android 4.0 Ice Cream Sandwich how do i know if my carrier and device will be able to update ? th... #Google #androi http://t.co/EHmNMVca',google,neutral
'What Is Ice Cream Sandwich? - http://t.co/otA4rqi9 #Google',google,neutral
'RT @/iPadPowerUsers-On Google+ then go here http://t.co/tMGHv24E #GPlus #Googleplus #Google #teamfollowback #socialnetwork',google,neutral
'RT @MAGGadget: Fight: Galaxy Nexus vs. Droid RAZR vs. iPhone 4S http://t.co/P3qHh63d #Android #iPhone #Google',google,neutral
'RT @shagorikah: Telegraph reports that the biggest threat to #facebook is its power users have shifted to #twitter or #google+ http://t.co/JHdTYKCV',google,positive
'RT @ZDNet: #Google steps up its privacy game &amp; launches Search Encryption #GoodToKnow privacy &amp; personal data control http://t.co/t05c34yY',google,neutral
'Sorry #Apple #Google and #Samsung just made you look bad. #Android is king',google,positive
'Telegraph reports that the biggest threat to #facebook is its power users have shifted to #twitter or #google+ http://t.co/JHdTYKCV',google,positive
'@Bravo u should have a cast of  Latina #housewives  WE have some pretty  successful Latina Women in this world #GOOGLE them..',google,neutral
'RT @iPadPowerUsers On Google+ then go here http://t.co/r4bIDq9D #GPlus #Googleplus #Google #teamfollowback #socialnetwork',google,neutral
'@loribooLIVE like Manny from degrassi (: #google her !',google,neutral
'And here\'s the run-down on #Android4.0 aka #IceCreamSandwich http://t.co/f1V3HJAe #google',google,neutral
'Here\'s what we know about the #GalaxyNexus http://t.co/7bYXbQVY #google #android',google,neutral
'#Facebook power users \'have gone to #Google+ and #Twitter\' - Telegraph http://t.co/vwCiOv1f Who are they? #socialmedia',google,positive
'Tips to make #Google always #crawl your #website http://t.co/SVYSckH7',google,neutral
'Do the Creep #ahh @JokeAholic_P and @AmiraAldewick #google+dates',google,neutral
'RT @xenophin: #Samsung and #Google\'s Ice Cream Sandwich event is at 3am UK time.    Waking up to a lot of news then ... #nonUSAtimezonelaunches',google,neutral
'Not impressed much with the new Android update. But good signs: a readable font emphasis on design and less nerdiness. #google',google,positive
'wait.... since when does putting honeycomb and gingerbread together make ice cream sandwich? #google ...',google,neutral
'Video: #Google wallet see the wow effect http://t.co/mcW78VtG',google,positive
'#Android #Google Samsung Galaxy Nexus Coming Soon To Three UK http://t.co/FQbfdiYE #DhilipSiva',google,neutral
'#Android #Google Nexus S Getting Ice Cream Sandwich OS ???????Theoretically??????? Should Work on Any Android... http://t.co/kqBWWiyd #DhilipSiva',google,neutral
'When I\'m about to tweet something and I cant remember how to spell I go straight to #Google',google,positive
