% The NRC Affect Intensity Lexicon v0.5
% www.saifmohammad.com/WebPages/AffectIntensity.htm
% Contact: Saif M. Mohammad (saif.mohammad@nrc-cnrc.gc.ca)
%
% The NRC Affect Intensity Lexicon is a list of English words and their
% associations with four basic emotions (anger, fear, sadness, joy). 
%
% Words can be associated with different intensities (or degrees) of an emotion.
% For example, most people will agree that the word condemn is associated with a
% greater degree of anger (or more anger) than the word irritate. However,
% annotating instances for fine-grained degrees of affect is a substantially more
% difficult undertaking than categorical annotation: respondents are presented
% with greater cognitive load and it is particularly hard to ensure consistency
% (both across responses by different annotators and within the responses produced
% by the same annotator). Here, for the first time, we create an affect intensity
% lexicon with real-valued scores of association using best--worst scaling.
% 
% For a given word and emotion X, the scores range from 0 to 1. A score of 1 means
% that the word conveys the highest amount of emotion X.  A score of 0 means that
% the word conveys the lowest amount of emotion X.
% 
% Details of the lexicon are in this paper.
% Word Affect Intensities. Saif M. Mohammad. arXiv preprint arXiv, April 2017.
%
% The lexicon has close to 6,000 entries for four basic emotions: anger, fear,
% joy, and sadness. (We will soon be adding entries for four more emotions: trust,
% disgust, anticipation, and surprise. We will also be adding entries for valence,
% arousal, and dominance.)	It includes common English terms as well as terms
% that are more prominent in social media platforms, such as Twitter. It includes
% terms that are associated with emotions to various degrees. For a given emotion,
% this even includes some terms that may not predominantly convey that emotion (or
% that convey an antonymous emotion), and yet tend to co-occur with terms that do.
% (Antonymous terms tend to co-occur with each other more often than chance, and
% are particularly problematic when one uses automatic co-occurrence-based
% statistical methods to capture word--emotion connotations.)



@relation 'The NRC Affect Intensity Lexicon v0.5. More info at:www.saifmohammad.com/WebPages/AffectIntensity.htm'

@attribute term string
@attribute anger_Score numeric
@attribute fear_Score numeric
@attribute sadness_Score numeric
@attribute joy_Score numeric

@data
crumbling,?,?,0.594,?
crunch,0.318,?,?,?
crusade,0.328,0.392,?,?
crushed,0.672,0.812,0.703,?
crushing,0.735,0.672,0.609,?
cry,?,?,0.75,?
crying,?,?,0.781,?
crypt,?,0.566,0.594,?
cuddle,?,?,?,0.636
cuddled,?,?,?,0.703
cuddles,?,?,?,0.662
cuddling,?,?,?,0.766
cult,?,0.518,?,?
cumbersome,?,?,0.344,?
cupping,?,0.266,0.172,?
cur,0.422,0.359,?,?
curriculum,0.063,?,?,?
curse,0.688,0.578,0.608,?
cursed,0.574,0.734,0.625,?
cursing,0.625,?,?,?
cussed,0.619,?,?,?
custom,?,?,?,0.188
cutie,?,?,?,0.515
cutter,?,0.344,?,?
cutthroat,0.667,0.664,?,?
cutting,0.485,0.484,0.422,?
cyanide,?,0.797,?,?
cyclone,?,0.688,?,?
cyst,?,0.391,0.422,?
cytomegalovirus,?,?,0.5,?
dabbling,0.234,?,?,?
daemon,0.641,0.625,0.391,?
dagger,?,0.609,?,?
damage,0.578,?,0.578,?
damages,?,?,0.576,?
dame,0.03,?,?,?
damn,0.735,?,?,?
damnation,0.906,0.812,0.75,?
damper,?,?,0.5,?
dance,?,?,?,0.545
dancing,?,?,?,0.797
danger,?,0.802,0.719,?
dangerous,?,0.75,?,?
dangerously,?,0.766,?,?
dangit,0.394,?,?,?
dark,?,?,0.545,?
darken,?,0.471,0.406,?
darkened,?,0.61,0.438,?
darkness,0.227,0.516,0.409,?
darkside,0.547,?,?,?
darling,?,?,?,0.578
dart,?,0.359,?,?
dashed,0.328,0.297,0.469,?
dastardly,0.672,0.641,?,?
date,?,?,?,0.344
datenight,?,?,?,0.484
daughter,?,?,?,0.547
dawn,?,?,?,0.333
dawned,?,0.15,?,?
daymade,?,?,?,0.514
dayoff,?,?,?,0.531
deadline,?,0.312,?,?
deadlines,?,0.188,?,?
deadly,0.758,0.875,0.898,?
deal,?,?,?,0.312
dearest,?,?,?,0.672
death,0.574,0.843,0.915,?
debacle,?,0.438,0.609,?
debauchery,?,0.656,?,?
debt,?,?,0.391,?
decay,?,0.557,0.482,?
decayed,?,?,0.516,?
deceased,?,?,0.891,?
deceit,0.484,0.594,0.562,?
deceitful,?,?,0.562,?
deceive,0.547,?,0.562,?
deceived,0.562,?,?,?
december,?,?,?,0.167
decomposed,?,?,0.672,?
decomposition,?,0.469,0.703,?
decorating,?,?,?,0.303
decry,0.548,?,?,?
defamation,?,0.484,?,?
defamatory,0.625,?,?,?
default,?,0.226,0.121,?
defeated,?,?,0.75,?
defect,0.348,?,?,?
defection,?,0.398,?,?
defend,?,0.25,?,?
defendant,0.266,0.328,0.359,?
defense,0.425,0.258,?,?
defenseless,?,0.547,0.526,?
defiance,0.552,0.5,?,?
defiant,0.578,?,?,?
deflate,0.312,?,0.438,?
deflation,?,0.297,?,?
deformed,?,?,0.703,?
deformity,?,0.547,0.703,?
defraud,0.424,?,?,?
defunct,?,?,0.518,?
defy,0.5,0.344,0.312,?
degeneracy,0.531,?,0.578,?
degrading,?,0.562,0.609,?
delay,0.197,0.141,0.373,?
deleterious,0.438,0.422,?,?
delicious,?,?,?,0.579
delight,?,?,?,0.765
delighted,?,?,?,0.891
delightful,?,?,?,0.818
delinquent,0.281,?,?,?
delirious,?,?,0.439,?
delirium,?,?,0.576,?
deliverance,?,?,?,0.348
deluge,?,0.287,0.402,?
delusion,0.406,0.422,0.516,?
delusional,0.5,0.25,?,?
demand,0.485,?,?,?
demented,?,0.641,?,?
dementia,?,0.641,0.688,?
demise,?,0.641,0.717,?
demolish,0.824,?,0.636,?
demolished,?,?,0.625,?
demon,0.735,0.906,0.594,?
demonic,0.828,0.859,0.656,?
demonstrative,?,?,0.242,0.25
demoralized,?,0.578,0.781,?
denied,?,?,0.578,?
denounce,0.652,?,?,?
dentist,?,0.312,?,?
dentistry,?,0.375,?,?
dentists,?,0.438,?,?
denunciation,0.713,0.456,?,?
deny,0.438,?,?,?
depart,?,?,0.234,?
departed,?,?,0.558,?
departure,?,?,0.438,?
dependence,?,0.234,0.328,?
deplorable,0.766,0.609,0.75,?
deplore,0.734,?,0.576,?
deport,?,0.406,0.5,?
deportation,0.422,0.517,0.594,?
depraved,0.591,0.734,0.688,?
depravity,0.516,?,?,?
depreciate,0.315,?,?,?
depreciated,0.297,0.297,0.46,?
depreciation,?,0.359,?,?
depress,?,0.422,0.755,?
depressed,0.297,0.469,0.859,?
depressing,?,?,0.906,?
depression,?,0.508,0.925,?
depressive,?,?,0.75,?
depresson,?,0.422,?,?
deprivation,0.621,0.578,0.672,?
deprived,?,?,0.594,?
deranged,0.706,0.703,?,?
derision,0.5,?,?,?
derogation,0.5,0.547,0.491,?
derogatory,0.562,0.453,0.609,?
descent,?,0.391,0.377,?
desecration,0.848,0.578,0.781,?
desert,0.206,0.359,0.344,?
deserted,0.348,0.531,0.688,?
deserve,0.176,?,?,?
desire,?,?,?,0.484
desist,0.453,?,?,?
desolation,?,0.667,0.797,?
despair,0.382,0.641,0.812,?
despairing,?,0.474,0.672,?
desperation,?,0.719,0.75,?
despicable,0.828,?,?,?
despise,0.75,?,?,?
despotic,?,0.656,?,?
despotism,0.453,0.609,0.453,?
destination,?,0.109,0.17,0.281
destiny,?,?,?,0.484
destitute,?,0.455,0.766,?
destroyed,0.788,0.754,0.844,?
destroyer,0.812,0.75,?,?
destroying,0.844,0.844,0.734,?
destruction,0.656,0.797,?,?
destructive,0.797,0.812,?,?
detainee,0.409,0.516,0.438,?
detention,?,?,0.344,?
deteriorate,?,0.641,0.625,?
deteriorated,?,?,0.365,?
deterioration,0.344,0.562,0.536,?
detest,0.838,?,?,?
detonate,?,0.766,?,?
detonation,0.781,?,?,?
detract,0.242,?,?,?
devastate,0.682,0.792,0.797,?
devastated,?,?,0.912,?
devastating,0.561,0.719,0.875,?
devastation,0.765,0.906,0.917,?
deviation,?,?,0.422,?
devil,0.719,0.828,0.576,?
devilish,?,0.734,?,?
devotional,?,?,?,0.359
devout,?,?,?,0.273
diabolical,0.788,0.703,?,?
diagnosis,?,0.391,?,?
diamond,?,?,?,0.5
diary,?,?,?,0.25
diatribe,0.606,?,?,?
dickhead,0.824,?,?,?
dicks,0.703,?,?,?
dictator,?,0.656,?,?
dictatorial,0.53,?,?,?
dictatorship,0.676,0.734,0.509,?
die,?,0.766,0.773,?
died,?,?,0.906,?
difficult,?,0.359,?,?
difficulties,?,?,0.421,?
difficulty,0.379,0.234,0.5,?
dignity,?,?,?,0.5
dike,?,0.328,?,?
dilapidated,?,?,0.609,?
diminish,?,?,0.438,?
dinosaur,?,0.453,?,?
dire,?,0.578,0.609,?
disability,?,?,0.648,?
disable,?,0.558,0.529,?
disabled,?,0.406,0.672,?
disagree,0.389,?,?,?
disagreeing,0.453,?,0.333,?
disagreement,0.348,?,0.438,?
disallowed,0.308,0.406,0.328,?
disapointment,0.29,?,?,?
disappear,?,0.422,?,?
disappoint,0.409,?,0.609,?
disappointed,0.348,?,0.636,?
disappointing,?,?,0.625,?
disappointment,?,?,0.594,?
disapproval,?,?,0.469,?
disapprove,0.364,0.38,0.453,?
disapproved,0.485,?,0.438,?
disapproving,0.453,?,0.438,?
disaster,0.721,0.875,0.758,?
disastrous,0.72,0.875,0.734,?
discipline,?,0.344,?,?
disclaim,0.344,?,?,?
discolored,?,?,0.219,?
discomfort,?,?,0.5,?
disconnect,?,?,0.359,?
disconnected,?,?,0.438,?
disconnects,0.281,?,?,?
discontent,0.424,0.234,0.543,?
discontinuity,?,0.312,0.297,?
discord,0.576,?,?,?
discourage,?,0.281,0.547,?
discriminate,0.576,?,0.453,?
discrimination,0.606,0.391,0.578,?
disdain,0.719,?,?,?
disease,0.341,0.688,0.665,?
diseased,?,0.734,0.766,?
disembodied,?,0.531,0.66,?
disfigured,0.508,0.625,0.703,?
disgrace,0.484,?,0.812,?
disgraced,0.608,?,0.734,?
disgraceful,0.547,?,?,?
disgruntled,0.693,?,0.712,?
disgust,0.602,0.406,0.531,?
disgusting,0.636,0.484,?,?
disheartened,?,?,0.788,?
disheartening,?,?,0.719,?
dishonest,0.516,?,0.482,?
dishonor,0.441,0.484,0.625,?
disillusionment,0.375,?,0.547,?
disinformation,0.152,0.286,?,?
disintegrate,?,0.609,?,?
dislike,0.469,?,?,?
disliked,0.359,?,0.576,?
dislocated,0.328,0.438,0.438,?
dismal,?,0.584,0.562,?
dismay,0.54,0.484,0.636,?
dismemberment,?,0.875,0.766,?
dismissal,0.312,0.406,0.686,?
disobedience,0.424,?,?,?
disobedient,0.485,?,?,?
disobey,0.469,?,?,?
disorder,?,0.406,?,?
disparage,0.688,?,0.672,?
disparaging,0.571,?,0.609,?
disparity,0.547,?,0.531,?
dispassionate,?,?,0.422,?
dispel,?,?,0.375,?
displaced,0.294,0.438,0.691,?
displeased,0.453,0.273,0.516,?
dispossessed,0.47,0.578,0.531,?
dispute,0.531,?,?,?
disqualified,0.328,?,0.435,?
disqualify,?,?,0.375,?
disreputable,0.368,0.453,?,?
disrespect,0.394,?,?,?
disrespectful,0.516,0.343,0.5,?
disrupting,0.5,?,?,?
disruption,0.469,0.453,?,?
dissension,0.561,?,?,?
disservice,0.485,?,0.258,?
dissident,0.485,0.422,?,?
dissolution,0.391,0.375,0.48,?
dissonance,0.53,?,?,?
distracted,0.197,?,?,?
distracting,0.182,?,?,?
distraught,?,?,0.812,?
distress,0.469,0.656,0.594,?
distressed,?,0.406,?,?
distressing,0.371,0.562,?,?
distrust,0.516,0.531,?,?
disturbance,0.576,0.459,0.484,?
disturbed,0.559,?,0.5,?
disused,0.382,?,?,?
ditty,?,?,?,0.141
divided,?,?,0.172,?
divine,?,?,?,0.641
divorce,0.516,0.484,0.623,?
doldrums,?,?,0.453,?
dole,?,?,0.219,?
doll,?,?,?,0.234
dollhouse,?,?,?,0.182
dolor,?,?,0.5,?
dolphin,?,?,?,0.348
dominant,?,0.406,?,?
dominate,0.5,0.438,?,?
domination,0.688,0.566,0.469,?
dominion,?,0.328,?,?
dontlikeyou,0.712,?,?,?
dontmess,0.576,?,?,?
dontmesswithme,0.75,?,?,?
dontpanic,?,0.378,?,?
dontunderstand,0.242,?,?,?
doom,?,0.828,?,?
doomed,?,0.888,0.766,?
doomsday,0.643,0.828,0.75,?
doubt,?,0.25,0.359,?
doubts,?,0.308,?,?
douchebags,0.75,?,?,?
dove,?,?,?,0.312
down,?,?,0.281,?
downfall,?,0.5,0.594,?
drab,?,?,0.42,?
dragon,?,0.594,?,?
draining,?,?,0.424,?
dramaqueen,0.312,?,?,?
dread,?,0.859,?,?
dreaded,?,0.703,?,?
dreadful,0.562,0.75,0.797,?
dreadfully,?,0.796,0.797,?
dreading,?,0.641,?,?
dream,?,?,?,0.484
dreams,?,?,?,0.559
dreamt,?,0.111,?,?
dreary,?,?,0.656,?
drifted,?,?,0.266,?
drinks,?,?,?,0.273
drones,?,0.406,?,?
drown,?,0.844,0.641,?
drugged,?,?,0.5,?
dubious,?,0.391,?,?
duel,0.422,0.562,?,?
dull,?,?,0.297,?
dumbasses,0.712,?,?,?
dumbbitch,0.841,?,?,?
dumps,0.312,?,0.516,?
dungeon,?,0.672,?,?
dupe,0.312,?,?,?
duplicity,0.318,?,?,?
duress,0.516,0.641,0.625,?
dwarfed,?,0.281,0.391,?
dwelling,?,?,?,0.094
dying,0.455,0.948,0.875,?
dysentery,?,?,0.593,?
eager,?,?,?,0.438
eagerness,?,?,?,0.552
earthquake,0.391,0.812,0.734,?
ease,?,?,?,0.422
eatingdisorders,?,0.578,?,?
ecstasy,?,?,?,0.906
ecstatic,?,?,?,0.954
edict,?,0.375,?,?
edification,?,?,?,0.333
eeeek,?,0.5,?,?
eeek,?,0.562,?,?
eek,?,0.531,?,?
eel,?,0.344,?,?
effigy,0.439,?,?,?
effyou,0.818,?,?,?
egregious,0.672,?,?,?
ejaculation,?,?,?,0.424
elated,?,?,?,0.894
elation,?,?,?,0.944
elbow,0.117,?,?,?
electric,?,?,?,0.344
elegance,?,?,?,0.609
elegant,?,?,?,0.53
elevation,?,0.266,?,0.455
elf,0.061,0.185,?,0.156
elimination,0.456,0.588,0.516,?
elite,?,?,?,0.547
emaciated,?,0.516,0.719,?
emancipation,?,?,?,0.397
embarrass,?,?,0.394,?
embarrassment,?,0.375,0.531,?
embolism,?,0.516,0.531,?
embrace,?,?,?,0.676
emergency,?,0.719,0.641,?
emetophobia,?,0.656,?,?
emo,?,?,0.141,?
emotional,?,?,0.438,?
emptiness,?,?,0.727,?
empty,?,?,0.364,?
enchant,?,?,?,0.734
enchanted,?,?,?,0.781
enchanting,?,?,?,0.828
encourage,?,?,?,0.5
encouraged,?,?,?,0.656
encouragement,?,?,?,0.545
encroachment,?,0.656,?,?
encumbrance,0.333,0.328,0.441,?
endanger,?,0.688,?,?
endangered,?,0.656,?,?
endemic,?,0.484,0.5,?
endless,0.198,0.297,0.328,0.303
endocarditis,?,0.531,0.562,?
enemy,0.667,0.625,?,?
energy,?,?,?,0.422
enforce,0.424,0.516,?,?
engaged,?,?,?,0.652
engaging,?,?,?,0.485
enigmatic,?,0.329,?,?
enjoy,?,?,?,0.812
enjoying,?,?,?,0.771
enlighten,?,?,?,0.758
enlightenment,?,?,?,0.609
enliven,?,?,?,0.672
enmity,0.51,0.547,0.406,?
enraged,0.927,?,?,?
enslaved,0.625,0.781,0.828,?
entangled,0.544,0.438,0.377,?
entertain,?,?,?,0.773
entertained,?,?,?,0.7
entertaining,?,?,?,0.688
entertainment,?,?,?,0.603
enthusiasm,?,?,?,0.742
enthusiast,?,?,?,0.471
enthusiastic,?,?,?,0.875
epidemic,0.406,0.776,0.688,?
epitaph,?,?,0.531,?
equality,?,?,?,0.394
eradicate,0.682,?,?,?
eradication,0.685,0.828,?,?
erase,?,0.303,?,?
erotic,?,?,?,0.5
error,?,?,0.25,?
erupt,0.742,?,?,?
eruption,0.667,0.672,?,?
escalate,0.569,?,?,?
escape,?,0.406,?,?
escaped,?,0.375,?,?
eschew,0.324,?,0.172,?
established,?,?,?,0.303
esteem,?,?,0.172,0.439
eternal,?,?,?,0.469
eternity,?,?,0.266,?
ethereal,?,0.328,?,?
euphoria,?,?,?,0.922
euthanasia,?,0.594,0.927,?
evacuate,?,0.578,?,?
evade,0.344,0.344,?,?
evanescence,?,?,0.312,?
evasion,?,0.562,0.484,?
eventuality,?,0.141,?,?
evergreen,?,?,?,0.281
everlasting,?,?,?,0.578
everyman,?,0.178,?,?
evict,?,?,0.5,?
eviction,0.435,0.596,0.594,?
evil,0.706,0.833,0.672,?
exacerbation,0.531,0.516,?,?
exaggerate,0.263,?,?,?
exalt,?,?,?,0.636
exaltation,?,?,?,0.682
exalted,?,?,?,0.591
exam,?,0.359,?,?
examination,?,0.204,?,?
exasperation,0.424,?,?,?
exceed,?,?,?,0.348
excel,?,?,?,0.5
excellence,?,?,?,0.818
excellent,?,?,?,0.812
excitation,0.172,0.391,?,0.891
excite,0.191,0.132,?,0.697
excited,?,?,?,0.818
excitement,?,?,?,0.922
exciting,?,?,?,0.853
excluded,?,?,0.609,?
excluding,?,?,0.281,?
exclusion,?,0.636,0.5,?
excruciating,?,0.719,?,?
execution,0.917,0.844,0.859,?
executioner,0.644,0.859,0.667,?
exercise,?,?,?,0.258
exhausted,?,?,0.391,?
exhaustion,?,?,0.375,?
exhilaration,?,?,?,0.891
exigent,?,0.391,?,?
exile,0.469,0.516,0.742,?
exorcism,?,0.8,0.641,?
expedient,?,?,?,0.25
expel,0.656,0.438,0.414,?
experience,?,?,?,0.375
expire,?,?,0.562,?
expletive,0.672,?,?,?
explode,0.859,0.828,0.5,?
explosion,?,0.879,?,?
explosions,?,?,?,0.061
explosive,0.894,0.859,?,?
expose,?,0.375,?,?
expulsion,0.641,0.547,0.469,?
exquisite,?,?,?,0.688
exterminate,?,0.81,0.736,?
extermination,0.824,0.797,?,?
extinct,?,?,0.703,?
extinguish,0.394,?,?,?
extrajudicial,?,0.422,?,?
exuberance,?,?,?,0.922
fab,?,?,?,0.531
fabulous,?,?,?,0.922
failing,0.234,0.531,0.641,?
failure,?,0.578,0.812,?
fain,?,?,?,0.167
fainting,?,0.422,0.359,?
faith,?,?,?,0.453
faithful,?,?,?,0.529
faithfulness,?,?,?,0.553
faithless,?,?,0.609,?
fall,?,?,0.418,?
fallacious,0.424,?,?,?
falling,?,?,0.422,?
fallout,?,?,0.469,?
falsehood,0.25,?,?,?
falsification,0.379,?,?,?
falter,?,0.438,?,?
familiarity,?,?,?,0.333
family,?,?,?,0.5
familytime,?,?,?,0.515
famine,?,?,0.812,?
fanaticism,?,0.344,?,?
fancy,?,?,?,0.516
fanfare,?,?,?,0.594
fang,?,0.516,?,?
fangs,?,0.672,?,?
farewell,?,?,0.438,?
fasting,?,?,0.22,?
fat,?,?,0.203,?
fatal,0.712,0.828,0.922,?
fatality,?,0.906,0.766,?
fatigued,?,?,0.406,?
fatty,?,?,0.312,?
fault,?,?,0.406,?
faulty,0.375,?,?,?
favor,?,?,?,0.348
favorable,?,?,?,0.561
favorite,?,?,?,0.688
favoriteholiday,?,?,?,0.844
fear,0.5,0.828,?,?
feared,?,0.782,?,?
fearful,?,0.766,0.766,?
fearfully,?,0.656,0.609,?
fearing,?,0.808,?,?
fearless,?,0.2,?,?
fears,?,0.75,?,?
feat,?,?,?,0.297
fedup,0.734,?,?,?
fee,0.172,?,?,?
feeble,?,?,0.391,?
feelgood,?,?,?,0.736
feeling,0.147,0.328,0.172,0.359
feelingdown,?,?,0.672,?
feelinggood,?,?,?,0.734
feisty,0.269,?,?,?
felicity,?,?,?,0.636
fell,?,?,0.453,?
felon,?,0.672,?,?
feminism,0.266,?,?,?
fenced,0.242,?,?,?
ferocious,0.894,0.667,?,?
ferocity,0.818,?,?,?
fervor,0.5,?,?,0.295
festival,?,?,?,0.625
festive,?,?,?,0.833
fete,?,?,?,0.484
feud,0.641,?,?,?
feudalism,0.47,?,0.406,?
fever,?,0.469,?,?
fib,0.328,?,?,?
fidelity,?,?,?,0.359
fiend,0.621,0.484,?,?
fierce,0.812,0.469,?,?
fiesta,?,?,?,0.773
fiesty,0.53,?,?,?
fight,0.667,0.719,?,?
fighting,0.868,?,?,?
fights,0.803,?,?,?
finalized,?,0.234,?,?
finally,?,?,?,0.157
fingerscrossed,?,0.219,?,?
fire,?,0.636,?,?
firearms,0.547,0.6,?,?
firefly,?,?,?,0.227
fireplace,?,?,?,0.273
firestorm,0.765,?,?,?
firstborn,?,?,?,0.531
firstworldprobs,0.379,?,?,?
fit,?,?,?,0.25
fitness,?,?,?,0.312
fits,0.561,?,?,?
fitting,?,?,?,0.258
flaccid,?,?,0.324,?
flagrant,0.455,?,?,?
flares,0.532,?,?,?
flattering,?,?,?,0.576
flaw,?,?,0.347,?
fled,?,0.534,?,?
flee,?,0.594,?,?
fleece,0.172,?,0.109,?
flexin,0.281,?,?,?
flinch,?,0.484,0.281,?
flirt,?,?,?,0.594
flog,0.734,0.653,0.562,?
flood,?,0.547,?,?
flop,?,?,0.281,?
flounder,?,0.297,0.359,?
flowers,?,?,?,0.406
flows,?,?,?,0.13
flu,?,0.375,?,?
fluctuation,0.265,0.204,?,?
flurries,?,0.266,?,?
flying,?,0.281,?,?
foaming,0.5,?,?,?
foe,0.441,0.594,?,?
foggy,?,?,0.234,?
fondness,?,?,?,0.625
food,?,?,?,0.258
foodie,?,?,?,0.331
fooled,?,?,0.531,?
football,?,?,?,0.25
foray,0.279,?,?,?
forbid,?,?,0.438,?
forbidding,0.368,0.578,?,?
force,0.418,0.266,?,?
forced,?,0.569,?,?
forcibly,0.591,0.7,?,?
forearm,0.156,?,?,?
foreboding,?,0.516,?,?
foreclose,?,0.469,0.453,?
forefathers,?,?,?,0.188
foreigner,?,0.312,?,?
foreveralone,?,?,0.688,?
forewarned,?,0.25,?,?
forfeit,0.409,?,0.344,?
forfeiture,?,0.438,0.531,?
forgetful,0.076,?,?,?
forgiveness,?,?,?,0.453
forgotten,?,0.266,0.53,?
forlorn,?,?,0.625,?
formidable,?,0.359,?,?
forsake,?,?,0.621,?
forsaken,0.406,?,0.719,?
fortitude,?,?,?,0.266
fortress,?,0.281,0.11,?
fortune,?,?,?,0.591
fortunes,?,?,?,0.652
foul,0.545,0.25,?,?
found,?,?,?,0.258
fragile,?,0.188,0.319,?
frailty,?,?,0.484,?
frankenstorm,?,0.672,?,?
frantic,?,0.705,?,?
frantically,?,0.717,?,?
fraternal,?,?,?,0.297
fraud,0.394,?,?,?
fraudulent,0.424,?,?,?
fraught,?,0.594,0.722,?
frayed,?,?,0.467,?
freak,?,0.562,?,?
freaked,?,0.703,?,?
freakedout,?,0.672,?,?
freakingout,?,0.781,?,?
freakish,?,0.484,?,?
freakout,?,0.531,?,?
free,?,?,?,0.544
freedom,?,?,?,0.561
freely,?,?,?,0.606
frenetic,0.397,0.5,?,?
frenzied,0.5,0.531,?,?
freshair,?,?,?,0.455
freshstart,?,?,?,0.544
fret,?,0.469,?,?
fricking,0.485,?,?,?
friction,0.47,?,?,?
friday,?,?,?,0.455
friend,?,?,?,0.471
friendliness,?,?,?,0.75
friendly,?,?,?,0.578
friends,?,?,?,0.5
friendship,?,?,?,0.591
frigate,?,0.375,?,?
friggen,0.575,?,?,?
fright,?,0.853,?,?
frighten,?,0.828,0.578,?
frightened,?,0.844,?,?
frightening,?,0.844,?,?
frightful,0.562,0.812,0.672,?
frisky,?,?,?,0.422
frolic,?,?,?,0.748
frosty,?,?,?,0.174
frown,?,?,0.453,?
frowning,0.239,?,0.5,?
fruitless,?,?,0.359,?
fruits,?,?,?,0.344
fruity,?,?,?,0.268
frustrate,0.604,?,0.469,?
frustrated,0.636,?,?,?
frustrates,0.547,?,?,?
frustrating,0.515,?,?,?
frustration,0.576,?,?,?
fuckedoff,0.742,?,?,?
fuckoff,0.912,?,?,?
fucksake,0.812,?,?,?
fucktard,0.906,?,?,?
fuckyeah,?,?,?,0.703
fugitive,0.438,0.703,0.438,?
fulfill,?,?,?,0.664
fulfilled,?,?,?,0.667
fulfilling,?,?,?,0.618
fulfillment,?,?,?,0.728
full,?,?,?,0.375
fullness,?,?,?,0.394
fumin,0.779,?,?,?
fuming,0.812,?,?,?
fun,?,?,?,0.788
funday,?,?,?,0.772
funeral,?,?,0.844,?
funk,?,?,0.375,?
furious,0.929,?,?,?
furiously,0.927,?,?,?
furnace,0.258,?,?,?
furor,0.9,?,?,?
furrow,?,?,0.344,?
fury,0.922,0.672,0.406,?
fuss,0.424,?,0.359,?
fussy,0.357,?,?,?
fustrated,0.547,?,?,?
futile,?,?,0.438,?
gahhh,0.439,?,?,?
gain,?,?,?,0.288
gall,0.47,?,?,?
gallows,0.57,0.686,0.797,?
gameday,?,0.125,?,?
gametime,?,0.328,?,?
gang,0.609,0.672,?,?
garden,?,?,?,0.333
gardens,?,?,?,0.219
gash,?,0.703,?,?
gasping,?,0.438,?,?
gazing,?,?,?,0.333
geez,0.136,?,?,?
gem,?,?,?,0.5
generosity,?,?,?,0.625
generous,?,?,?,0.609
genial,?,?,?,0.621
gent,0.076,0.141,?,?
gentle,?,?,?,0.485
gently,?,?,?,0.303
geriatric,?,?,0.379,?
gesture,?,?,?,0.387
getaway,?,?,?,0.469
getoverit,0.426,?,?,?
getoveryourself,0.495,?,?,?
getyourown,0.297,?,?,?
ghastly,?,0.836,?,?
ghetto,?,0.406,0.438,?
ghost,?,0.672,?,?
ghostly,?,0.754,?,?
giant,?,0.297,?,?
gibberish,0.172,?,?,?
giddy,?,?,?,0.757
gift,?,?,?,0.547
gifts,?,?,?,0.547
giggle,?,?,?,0.802
giggles,?,?,?,0.672
giggling,?,?,?,0.781
giver,?,?,?,0.353
giving,?,?,?,0.469
glad,?,?,?,0.781
gladiator,?,0.328,?,?
gladness,?,?,?,0.803
glare,0.562,0.43,?,?
glaring,0.636,?,?,?
glee,?,?,?,0.875
glide,?,?,?,0.162
glimmer,?,?,?,0.53
glitter,?,?,?,0.422
gloom,?,?,0.625,?
gloomy,?,?,0.578,?
glorification,?,?,?,0.733
glorify,?,?,?,0.781
glorious,?,?,?,0.812
glory,?,?,?,0.859
glow,?,?,?,0.656
glowing,?,?,?,0.729
glum,?,?,0.547,?
gnome,0.109,0.188,?,?
goals,?,?,?,0.469
goblin,?,0.594,?,?
god,?,0.094,?,0.545
godbless,?,?,?,0.616
godisgood,?,?,?,0.597
godisgreat,?,?,?,0.721
godless,0.453,?,?,?
godly,?,?,?,0.514
godsend,?,?,?,0.688
gofuckyourself,0.886,?,?,?
gone,?,?,0.453,?
gonorrhea,0.424,0.547,0.5,?
good,?,?,?,0.547
goodbye,?,?,0.375,?
goodday,?,?,?,0.734
goodfeeling,?,?,?,0.766
goodhealth,?,?,?,0.682
goodies,?,?,?,0.594
goodlife,?,?,?,0.703
goodmood,?,?,?,0.819
goodmorning,?,?,?,0.547
goodmusic,?,?,?,0.594
goodness,?,?,?,0.818
goodnews,?,?,?,0.703
goodtimes,?,?,?,0.811
goodvibes,?,?,?,0.742
goofy,?,?,?,0.391
gooood,?,?,?,0.703
gore,0.656,0.734,0.609,?
gorgeous,?,?,?,0.625
gory,0.576,0.688,0.672,?
government,?,0.359,?,?
grab,0.557,?,?,?
grace,?,?,?,0.576
gracias,?,?,?,0.554
graded,?,0.075,?,?
grades,?,0.094,?,?
gradschool,?,0.062,?,?
graduation,?,0.078,?,0.422
grandchildren,?,?,?,0.54
grant,?,?,?,0.366
grated,0.455,?,?,?
grateful,?,?,?,0.789
gratify,?,?,?,0.75
grating,0.561,?,?,?
gratitude,?,?,?,0.914
grave,?,0.562,0.727,?
gray,?,?,0.269,?
greatday,?,?,?,0.812
greatfriends,?,?,?,0.688
greatful,?,?,?,0.816
greatness,?,?,?,0.75
greatnight,?,?,?,0.734
greed,0.424,?,?,?
green,?,?,?,0.137
greeted,?,?,?,0.516
grenade,?,0.828,?,?
grey,?,?,0.281,?
grief,?,?,0.859,?
